image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
ffcloud-cli,1.0.49,ejs,3.1.6,3.1.7,CRITICAL,CVE-2022-29078
ffcloud-cli,1.0.49,tar,6.2.1,7.5.19,CRITICAL,CVE-2026-59873
ffcloud-service,1.0.817,handlebars,4.7.8,4.7.9,CRITICAL,CVE-2026-33916;CVE-2026-33937;CVE-2026-33938;CVE-2026-33939;CVE-2026-33940;CVE-2026-33941;GHSA-442j-39wm-28r2;GHSA-7rx3-28cr-v5wh
ffcloud-service,1.0.817,protobufjs,7.4.0,"8.0.1, 7.5.5",CRITICAL,CVE-2026-41242
ffcloud-service,1.0.817,tar,6.1.13,7.5.19,CRITICAL,CVE-2026-59873
ffcloud-service,1.0.817,tar,6.2.1,7.5.19,CRITICAL,CVE-2026-59873
ffcloud-service,1.0.817,tar,7.4.3,7.5.19,CRITICAL,CVE-2026-59873
fitconnect-service,1.0.754,fast-xml-parser,5.2.5,"5.3.5, 4.5.4",CRITICAL,CVE-2026-25896
fitconnect-service,1.0.754,handlebars,4.7.8,4.7.9,CRITICAL,CVE-2026-33916;CVE-2026-33937;CVE-2026-33938;CVE-2026-33939;CVE-2026-33940;CVE-2026-33941;GHSA-442j-39wm-28r2;GHSA-7rx3-28cr-v5wh
fitconnect-service,1.0.754,protobufjs,7.4.0,"8.0.1, 7.5.5",CRITICAL,CVE-2026-41242
fitconnect-service,1.0.754,tar,6.1.13,7.5.19,CRITICAL,CVE-2026-59873
fitconnect-service,1.0.754,tar,6.2.1,7.5.19,CRITICAL,CVE-2026-59873
fitconnect-service,1.0.754,tar,7.4.3,7.5.19,CRITICAL,CVE-2026-59873
frontend,0.1.685,tar,6.2.1,7.5.19,CRITICAL,CVE-2026-59873
frontend,0.1.685,tar,7.4.3,7.5.19,CRITICAL,CVE-2026-59873
scheduler-service,1.0.358,protobufjs,7.4.0,"8.0.1, 7.5.5",CRITICAL,CVE-2026-41242
scheduler-service,1.0.358,tar,6.1.13,7.5.19,CRITICAL,CVE-2026-59873
scheduler-service,1.0.358,tar,6.2.1,7.5.19,CRITICAL,CVE-2026-59873
scheduler-service,1.0.358,tar,7.4.3,7.5.19,CRITICAL,CVE-2026-59873
ffcloud-cli,1.0.49,axios,0.21.4,"1.8.2, 0.30.0",HIGH,CVE-2025-27152
ffcloud-cli,1.0.49,axios,0.21.4,"1.13.5, 0.30.3",HIGH,CVE-2026-25639
ffcloud-cli,1.0.49,axios,0.21.4,"1.15.1, 0.31.1",HIGH,CVE-2026-42033;CVE-2026-42034;CVE-2026-42035;CVE-2026-42036;CVE-2026-42038;CVE-2026-42039;CVE-2026-42040;CVE-2026-42041;CVE-2026-42042;CVE-2026-42043
ffcloud-cli,1.0.49,axios,0.21.4,"1.16.0, 0.32.0",HIGH,CVE-2026-44486;CVE-2026-44487;CVE-2026-44490;CVE-2026-44492;CVE-2026-44496
ffcloud-cli,1.0.49,axios,0.21.4,"1.15.2, 0.31.1",HIGH,CVE-2026-44495
ffcloud-cli,1.0.49,brace-expansion,1.1.11,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
ffcloud-cli,1.0.49,brace-expansion,1.1.11,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
ffcloud-cli,1.0.49,brace-expansion,1.1.11,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
ffcloud-cli,1.0.49,brace-expansion,2.0.1,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
ffcloud-cli,1.0.49,brace-expansion,2.0.1,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
ffcloud-cli,1.0.49,brace-expansion,2.0.1,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
ffcloud-cli,1.0.49,cross-spawn,7.0.3,"7.0.5, 6.0.6",HIGH,CVE-2024-21538
ffcloud-cli,1.0.49,glob,10.4.2,"11.1.0, 10.5.0",HIGH,CVE-2025-64756
ffcloud-cli,1.0.49,ip-address,9.0.5,10.3.1,HIGH,CVE-2026-69192
ffcloud-cli,1.0.49,lodash,4.17.21,4.18.0,HIGH,CVE-2026-2950;CVE-2026-4800
ffcloud-cli,1.0.49,minimatch,3.1.2,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
ffcloud-cli,1.0.49,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
ffcloud-cli,1.0.49,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
ffcloud-cli,1.0.49,minimatch,5.1.6,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
ffcloud-cli,1.0.49,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
ffcloud-cli,1.0.49,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
ffcloud-cli,1.0.49,minimatch,9.0.5,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
ffcloud-cli,1.0.49,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
ffcloud-cli,1.0.49,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
ffcloud-cli,1.0.49,semver,7.3.5,"7.5.2, 6.3.1, 5.7.2",HIGH,CVE-2022-25883
ffcloud-cli,1.0.49,sigstore,2.3.1,4.1.1,HIGH,CVE-2026-48815
ffcloud-cli,1.0.49,tar,6.2.1,7.5.3,HIGH,CVE-2026-23745
ffcloud-cli,1.0.49,tar,6.2.1,7.5.4,HIGH,CVE-2026-23950
ffcloud-cli,1.0.49,tar,6.2.1,7.5.7,HIGH,CVE-2026-24842
ffcloud-cli,1.0.49,tar,6.2.1,7.5.8,HIGH,CVE-2026-26960
ffcloud-cli,1.0.49,tar,6.2.1,7.5.10,HIGH,CVE-2026-29786
ffcloud-cli,1.0.49,tar,6.2.1,7.5.11,HIGH,CVE-2026-31802
ffcloud-cli,1.0.49,tar,6.2.1,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
ffcloud-service,1.0.817,brace-expansion,1.1.11,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
ffcloud-service,1.0.817,brace-expansion,1.1.11,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
ffcloud-service,1.0.817,brace-expansion,1.1.11,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
ffcloud-service,1.0.817,brace-expansion,2.0.1,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
ffcloud-service,1.0.817,brace-expansion,2.0.1,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
ffcloud-service,1.0.817,brace-expansion,2.0.1,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
ffcloud-service,1.0.817,dset,3.1.2,3.1.4,HIGH,CVE-2024-21529
ffcloud-service,1.0.817,glob,10.4.5,"11.1.0, 10.5.0",HIGH,CVE-2025-64756
ffcloud-service,1.0.817,http-cache-semantics,4.1.0,4.1.1,HIGH,CVE-2022-25881
ffcloud-service,1.0.817,ip-address,9.0.5,10.3.1,HIGH,CVE-2026-69192
ffcloud-service,1.0.817,jws,3.2.2,"3.2.3, 4.0.1",HIGH,CVE-2025-65945
ffcloud-service,1.0.817,koa,2.16.1,"3.1.2, 2.16.4",HIGH,CVE-2026-27959
ffcloud-service,1.0.817,minimatch,3.1.2,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
ffcloud-service,1.0.817,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
ffcloud-service,1.0.817,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
ffcloud-service,1.0.817,minimatch,5.1.6,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
ffcloud-service,1.0.817,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
ffcloud-service,1.0.817,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
