source_testname,source_units,value_count
"1,25 OH Vit D",pmol/L,163
"1,25 Vit D",pmol/L,72
17-Hydroxyprogesterone,nmol/L,2
24h Urine Metadrenaline,umol/24h,157
24h Urine Normetadrenaline,umol/24h,169
25 OH Vitamin D,nmol/L,3718
3-methoxytyramine (3MT),pmol/L,7
3-Methoxytyramine (3MT),pmol/L,15
6-MMP,pmol 6-MMPN/8x10*8 RBC,6
6-MMPN,pmol 6-MMPN/8x10*8 RBC,17
6-TGN,pmol 6-TGN/8x10*8 RBC,24
Access IF Result,AU/mL,22
Acetyl Choline Receptor Ab,nmol/L,8
Acetyl choline Receptor Antibody,nmol/L,57
Acid Esterase (Wolman's Disease),umol/g.h,3
ACTH,ng/L,26
Activated partial thromboplastin time,s,5309
ADAMTS 13 Activity,IU/dL,4
Adjusted Calcium,mmol/L,93549
ADX Bladder,%,2
AKI Warning Stage,,18684
Albumin,g/L,205563
Albumin                    :,g/L,9856
Albumin (electrophoresis),g/L,50
Alcohol,mg/100ml,12
Aldosterone/Renin ratio,,4
Alkaline Phosphatase,U/L,50
Alk. phos,U/L,4990
Alk. Phos,U/L,9187
Alk. Phosph,U/L,128132
ALP,U/L,66442
Alpha-1-antitrypsin,g/L,9
Alpha 1 Antitrypsin,g/L,416
Alpha 1 Globulin,g/L,50
Alpha 2 Globulin,g/L,50
Alpha-2 M Band 1,g/L,4
Alpha-2 Paraprotein 1,g/L,54
Alpha-feto protein (TM),kU/L,931
Alpha-Fucosidase (Fucosidosis),umol/L.h,3
Alpha Galactosidase,umol/l/h,2
Alpha-galactosidase activity,pmol/punch/hour | umol/L/h,39
Alpha-Galactosidase (Fabry's Disease),umol/L.h,3
Alpha-Mannosidase (Alpha-Mannosidosis),umol/L.h,3
ALT,U/L,190969
Alternaria alternata (m6),kAU/L,2
Amiodarone,mg/L,2
Ammonia,umol/L,92
Amylase,U/L,12255
a-N-Acetylgalactosaminidase (Schindler Disease),umol/g.h,2
ANA (ELISA) screen,,2197
Androstenedione,nmol/L,4
Angiotensin Converting Enzyme,U/L,256
Anti-Adalimumab Antibody,ng/mL,3
Anti-CCP,U/mL,809
Anti dsDNA Antibodies (Phadia),IU/mL,126
Anti Glomerular Basement Membrane Abs,EliA U/mL,268
Anti Glutamic Acid Decarboxylase Antibody,iu/mL | u/mL,26
Anti-Infliximab Antibody,ng/mL,1
Anti MUSK antibody,nmol/L,2
Anti Myelin Associated Glycoprotein Abs,BTU,21
Antithrombin (functional),%,6
Anti Thyroglobulin,IU/mL,23
Anti-Thyroid Peroxidase Antibody,kU/L,231
Anti Voltage Gated Calcium Channel Ab,PM,2
Anti Voltage Gated Potassium Channel Ab,pmol/L,5
aPTT,s,55372
APTT,s,61
Arylsulphatase A (Metachromatic Leucodystrophy),umol/g.h,3
AST,U/L,928
Basophils,10^9/L,300765
Beta-1 M Band 1,g/L,12
Beta-1 M Band 2,g/L,1
Beta-1 Paraprotein 1,g/L,89
Beta-1 Paraprotein 2,g/L,2
Beta-2 M Band 1,g/L,45
Beta-2-microglobulin,mg/L,211
Beta-2 Paraprotein 1,g/L,471
Beta-2 Paraprotein 2,g/L,28
Beta-Galactosidase (GM1-Gangliosidosis),umol/L.h,2
Beta-Galactosidase (GM1-Gangliosidosis/MPS IVB),umol/L.h,1
Beta Globulin,g/L,50
Beta-Glucosidase (Gaucher's Disease),umol/g.h,3
Beta-Glucuronidase (MPS VIII/Sly's Disease),umol/L.h,1
Beta-Glucuronidase (Sly's Disease),umol/L.h,2
Beta Trace Protein,mg/L,2
Bicarbonate,mmol/L,66034
Bile Acids,umol/L,6
Bilirubin,umol/L,61940
Blood Lead,umol/L,2
Blood Lead (mass units),ug/dL,2
Blood Manganese,nmol/L,13
Blood Spot A-Glucosidase,pmol/punch/hour,17
Bone specific ALP,U/L,24
C1 Esterase Inhibitor,g/L,7
CA125 (Ovarian TM.),kU/L,1253
CA15-3 (Breast TM),kU/L,287
CA19-9 (Pancreatic/Gut TM) :,kU/L,403
Caeruloplasmin,g/L,273
Calcitonin,ng/L,3
Calculated Bicarbonate,mmol/L,6283
Calprotectin,mg/kg | ug/g,604
Carbamazepine,mg/L,15
Carbamazepine epoxide,mg/L,2
Carboxyhaemoglobin,%,6261
Carcinoembryonic antigen,ug/L,763
Cat dander (e1),kAU/L,7
CD19 Absolute,10^9/L,14
CD3 Absolute,10^9/L,20
CD3 and CD4 Absolute,10^9/L,20
CD3 and CD8 Absolute,10^9/L,20
cH+,nmol/L,6326
Chitotriosidase (Non-specific marker of storage),umol/L.h,2
Chloride,mmol/L,34265
Cholesterol,mmol/L,47451
Cholesterol                :,mmol/L,32862
Chromogranin A,nmol/L | pmol/L,218
Chromogranin B,pmol/L,16
Citrate Platelet count,10^9/L,231
Cladosporium herbarum (m2),kAU/L,2
Complement 3,g/L,738
Complement 4,g/L,738
Complement C4,g/L,7
Copper,umol/L,146
Corrected Calcium,mmol/L,66
C - Peptide,pmol/L,1
C-Peptide,pmol/L,22
CREA,umol/L,31
Creat. Clear,mL/min/stdsa,35
Creatinine,umol/L,347676
Creatinine excretion,mmol/24h,3
CRP,mg/L,207066
CSF Lactate,mmol/L,11
CSF Protein,g/L,55
CTX,ug/L,130
DBS Alpha-Galactosidase,pmol/punch/hour,3
DBS Alpha-Glucosidase with inhibition,pmol/punch/hour,3
D-dimer,ug/ml,907
D-Dimer,ug/L,4327
Desethylamiodarone,mg/L,1
DHEAS,umol/L,16
Digoxin,ug/L,1710
Dog dander (e5),kAU/L,7
DRVV ratio,,64
DRVV screen ratio,,1
Duration of abstinence,days,4
EDTA Platelet count,10^9/L,231
ENA ELISA Screen Ratio Result,,117
Eosinophils,10^9/L,301112
Erythropoietin,iu/L | IU/L | mIU/mL,98
ESR,mm/h,18619
F3 Cod,kAU/L,3
Factor II,IU/mL,1
Factor IX,% | IU/mL,7
Factor V,IU/mL,1
Factor VII,IU/mL,3
Factor VIII,IU/mL,33
Factor VIII coagulant,%,6
Factor VIII coagulant activity,%,3
Factor X,IU/mL,1
Factor XI,% | IU/mL,5
Factor XII,% | IU/mL,3
Factor XIII antigen,IU/mL,1
Faecal Elastase,ug/g,312
Faecal Immunochemical Test,Ug/g,1784
Fast. Glucose,mmol/L,75
Ferritin,ug/L,35580
FGF 23 (Immutopics),RU/mL,36
Fibrillarin,U/mL,31
Fibrinogen,g/L,4458
Fibrinogen (assay),g/L,240
Free kappa,mg/L,772
Free Kappa,mg/L,1304
Free. Kappa,mg/L,13
Free lambda,mg/L,771
Free Lambda,mg/L,1304
Free. Lambda,mg/L,13
Free T3,pmol/L,437
Free T4,pmol/L,7944
Free Thyroxine,pmol/L,1531
FT3,pmol/L,1616
FT4,pmol/L,23080
FX1,kAU/L,1
FX22,kAU/L,1
FX2 Fish Screen,kAU/L,3
FX5,kAU/L,4
